id,circlesize,country,lat,long
1,150,Netherlands,52.083285,5.133562
2,200,Boston,42.360704,-71.058084
3,100,Israel,32.568897,35.371401
4,100,Jordan,29.553212,35.391178
5,100,Cairo,30.04458,31.238325
6,100,Luxor,25.695825,32.641816
7,100,Thailand,13.759062,100.496929
8,100,Cambodja,13.412437,103.868683
9,100,Laos,19.886197,102.134238
10,100,New Zealand North Island,-39.287243,175.582922
11,100,New Zealand South Island,-43.96855,170.47779
12,100,Mexico,20.652314,-87.052869
13,100,Hawaii,19.435723,-154.895847
14,100,Stockholm,59.319664,18.07336
15,100,London,51.498554,-0.137187
16,100,Spain,37.383878,-5.987499
17,100,Rome,41.910856,12.483913
18,100,Uzes,44.011884,4.4188
19,100,Florida Key Biscayne,25.690544,-80.163433
20,100,New York,40.775699,-73.971018
21,100,Montreal,45.506485,-73.564354
22,100,Lake Pocomoonshine,45.122418,-67.518233
23,100,Amelia Island,30.700494,-81.443204
24,100,Las Vegas,36.168639,-115.162629
25,100,San Fransisco,37.779289,-122.441851
26,100,Dublin,53.3431,-6.262878
27,100,Berlin,52.517703,13.401251
28,100,Athene,37.971004,23.724422
29,100,Puerto Rico,18.218125,-66.725347
30,100,Madrid,40.413766,-3.702754
31,100,Kuala Lumpur,3.139003,101.686855
32,100,Bali,-8.345551,115.067204
33,100,Beijing,39.896669,116.404176
34,100,Toronto,43.663732,-79.370957
35,100,Geneva,46.201248,6.144028
36,100,Mexico City,19.344441,-99.192398
37,100,Assisi,43.074258,12.607373
38,100,Erlangen,49.592991,11.013799
39,100,Barcelona,41.381787,2.183467
40,100,Turkey,36.851646,30.856683
41,100,Paris,48.853759,2.347642
42,100,Washington,38.89021,-77.028458
43,100,New Haven,41.307926,-72.927108
44,100,Philadelphia,39.949241,-75.19209
45,100,Charleston,32.782323,-79.93186
46,100,Cary NC,35.73213,-78.809078
47,100,Chiang Mai,18.790171,98.984315
48,100,Puerto Escondido,15.845288,-97.050603
49,100,Salt Lake City,40.771184,-111.891098
50,100,Nashville,36.159985,-86.779609
51,100,Acadia Maine,44.542961,-68.139179
51,100,Great Smoky Mountains Spruce Flats Fall,35.634685,-83.68299
